"SCS","ISC","NRUSC","tRU","requiredSNR","IRU","NRU","ITBS","Qm","TBS","numTrBlks","NRep","SNR","BLER","TTI","pathloss","datarate","bandwidth"
3750,0,1,32,-5.7403,3,4,4,2,408,100,4,-4,0.04,512,162,0.796875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,4,-5,0.05,512,163,0.796875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,2,-6,0.04,256,164,1.59375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,2,-7,0.04,256,165,1.59375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,16,0,128,142,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,15,0.01,128,143,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,14,0.01,128,144,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,13,0.01,128,145,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,12,0.01,128,146,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,11,0.03,128,147,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,10,0.07,128,148,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,9,0.05,128,149,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,8,0.07,128,150,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,7,0.07,128,151,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,2,6,0,256,152,1.96875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,1,5,0.1,128,153,3.9375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,2,4,0.01,256,154,1.96875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,2,3,0.07,256,155,1.96875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,2,2,0.06,256,156,1.96875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,2,1,0.03,256,157,1.96875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,4,0,0.03,512,158,0.984375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,2,-1,0.09,256,159,1.96875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,4,-2,0.03,512,160,0.984375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,4,-3,0.03,512,161,0.984375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,4,-4,0.04,512,162,0.984375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,4,-5,0.05,512,163,0.984375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,4,-6,0.02,512,164,0.984375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,504,100,4,-7,0.03,512,165,0.984375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,1,10,0.09,128,148,4.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,1,9,0.09,128,149,4.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,2,8,0,256,150,2.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,1,7,0.03,128,151,4.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,2,6,0.01,256,152,2.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,2,5,0.04,256,153,2.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,2,4,0.03,256,154,2.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,2,3,0.05,256,155,2.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,2,2,0.05,256,156,2.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,2,1,0.07,256,157,2.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,2,0,0.05,256,158,2.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,2,-1,0.08,256,159,2.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,2,-2,0.1,256,160,2.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,4,-3,0.05,512,161,1.140625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,4,-4,0.05,512,162,1.140625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,4,-5,0.03,512,163,1.140625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,584,100,4,-6,0.01,512,164,1.140625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,1,16,0.03,128,142,5.3125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,1,15,0.03,128,143,5.3125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,1,14,0.04,128,144,5.3125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,1,13,0.04,128,145,5.3125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,1,12,0.05,128,146,5.3125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,11,0,256,147,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,10,0,256,148,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,9,0.01,256,149,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,8,0.02,256,150,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,7,0,256,151,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,6,0.03,256,152,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,5,0.01,256,153,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,4,0.06,256,154,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,3,0.02,256,155,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,2,0.07,256,156,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,2,1,0.08,256,157,2.65625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,4,0,0.06,512,158,1.328125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,4,-1,0.02,512,159,1.328125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,4,-2,0.05,512,160,1.328125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,4,-3,0.03,512,161,1.328125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,4,-4,0.03,512,162,1.328125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,4,-5,0.02,512,163,1.328125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,4,-6,0.03,512,164,1.328125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,680,100,4,-7,0.01,512,165,1.328125,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,1,12,0.04,160,146,5.05,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,1,11,0.01,160,147,5.05,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,1,10,0.06,160,148,5.05,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,2,9,0,320,149,2.525,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,2,8,0.02,320,150,2.525,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,2,7,0.01,320,151,2.525,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,2,6,0,320,152,2.525,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,2,5,0.02,320,153,2.525,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,2,4,0.04,320,154,2.525,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,2,3,0.04,320,155,2.525,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,2,2,0.02,320,156,2.525,"3,75"
3750,0,1,32,-5.7403,4,5,4,2,808,100,2,1,0.06,320,157,2.525,"3,75"
